Languages,Code Simplification,Commented Code,Complexity,Documentation,Duplication,Formatting,Grammar,Memory Leak,Missing import,Redundancy,Security,Simplification,Smell,Spelling,Syntax,Undefined Element,Unreachable Code,Unused Code,Variable Misuse
R,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can fix,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
RAML,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
Ruby,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Can fix,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Can fix,Unsupported,Unsupported,Unsupported,Unsupported
SCSS,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
SQL,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
Scala,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
Swift,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
Tex,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
TypeScript,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
VHDL,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
Verilog,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Can detect,Unsupported
VimScript,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported
XML,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
YAML,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
bash,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Can detect,Unsupported
dash,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Can detect,Unsupported
ksh,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Can detect,Unsupported
reStructuredText,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Unsupported
sh,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Unsupported,Can detect,Unsupported,Unsupported,Unsupported,Can detect,Can detect,Unsupported,Can detect,Unsupported
